UBIGEO,DISTRITO,PROVINCIA,DEPARTAMENTO,NOMBRE LOCAL,INSTALACION DEPORTIVA,TIPO INSTALACION,TIPO AP,ESPACIOS DEPORTIVOS,DISCIPLINAS DEPORTIVAS,FUNCIONAMIENTO,PLANIFICADA PARA INTERVENCIÓN,COORDENADAS X,COORDENADAS Y,INFRAESTRUCTURA INADECUADA,PROBLEMAS ESTRUCTURALES,RIESGO COLAPSO,NO CORRESPONDE A MANTENIMIENTO,ESPACIOS DEPORTIVOS INSUFICIENTES/INADECUADOS,REQUIERE REEMPLAZO,EDIFICACIÓN INADECUADA,CONSERVACIÓN BLOQUE,SITUACION ESPACIOS DEPORTIVOS,SITUACION ESPACIOS COMPLEMENTARIOS,COMENTARIOS INSTALACIONES DEPORTIVAS,CONDICIÓN BIEN,ADM,NOMBRE PREDIO,TIPO BIEN,USO GENERICO,USO ESPECIFICO,DIRECCION,AREA M2,TIPO DOCUMENTO REGISTRAL,NÚMERO DOCUMENTO REGISTRAL,CONDICION SANEAMIENTO,TIPO CARGAS,ADM,NOMBRE INFRAESTRUCTURA,DIRECCION,SANEADO,CODIGO CONTRIBUYENTE,PARTIDA ELECTRONICA,AREA M2,NOMBRE PROPIETARIO,RESPONSABLE,CONDICION USO,CERTIFICADO ITSE,SITUACIÓN LEGAL DEL PREDIO,CONVENIOS,UCOM,GEOLOCALIZACION,DIRECCION,NOMBRE EDIFICACION,PRIORIZADA,TIPO,RESPONSABLE,ESPECIALIDAD,NRO APOYO,ÁREA,ITSE,FECHA LIMITE,PROGRAMA LA ACADEMIA,ESPECTADORES,DEPORTES,ESTADO INFRAESTRUCTURA,MTTO,OBSERVACIONES,DIAGNOSTICO,ANIO,PROY.,CODIGO ÚNICO IDEA,SNIP
020105,INDEPENDENCIA,LIMA,LIMA,ESTADIO DEPORTIVO INDEPENDENCIA,INSTALACION DEPORTIVA DE COMPETENCIA,ESTADIO DE FUTBOL,ESTADIO DE FUTBOL,CAMPO DEPORTIVO DE FUTBOL,"FUTBOL, FULBITO",SI,,"-77,05368709","-11,99702565",,,,,,,,,-,-,EL IPD YA NO ADMINISTRA ESTE PREDIO,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,ESTADIO DEPORTIVO INDEPENDENCIA,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,ESTADIO,"AV. LOS PINOS, URB. LAS VIOLETAS ZONA E",12227.37,PARTIDA ELECTRONICA,P01186860,SI,AFECTACION EN USO,,ESTADIO DEPORTIVO DE INDEPENDENCIA,AV. LOS PINOS REF. ZONA E URB. LAS VIOLETAS ERMITAÑO,,33696,P01186860,12227.37,IPD/USO/SBN,UFARDELM,POR IDENTIFICAR,,,,,ESTADIO DEPORTIVO INDEPENDENCIA,"AV. LOS PINOS, URB. LAS VIOLETAS ZONA E",ESTADIO DEPORTIVO INDEPENDENCIA,NO,LIMA METROPOLITANA,MARTIN LOPEZ,ARQUITECTO,03UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
150101,LIMA CERCADO,LIMA,LIMA,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO - VELODROMO,INSTALACION DEPORTIVA DE COMPETENCIA,VELODROMO,VELODROMO,VELODROMO (01),CICLISMO,SI,,"-77,04457694","-12,03956036",NO,SI,SI,NO,SI,NO,NO,INADECUADO,SE IDENTIFICAN GRITAS DIAGONALES EN LOS MUROS Y GRADERÍAS DEL COLISEO. PUEDEN QUE OCURRAN DEBIDO A ESFUERZOS DE CORTE. REVESTIMIENTO DEL PISO DE LA CANCHA.,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",VELODROMO DE CONCRETO.INCLUYE UN CAMPO MENOR DE FULBITO EN EL CENTRO DEL VELODROMO,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO - VELODROMO,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,MARGEN DEL RIO RIMAC,18877.89,PARTIDA ELECTRONICA,11972342,SI,NO TIENE,,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO VELODROMO (12),MARGEN DEL RIO RIMAC - ALFONSO UGARTE N° 095,,176045,11972342,18877.89,IPD,UFARDELM,POR IDENTIFICAR,NO CUENTA CON CERTIFICADO ITSE,,CANTIDAD 3 CONVENIOS,,PUENTE DEL EJERCITO - VELODROMO,ALFONSO UGARTE N° 095 - MARGEN DEL RIO RIMAC,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO VELODROMO,NO,LIMA METROPOLITANA,MARTIN LOPEZ,ARQUITECTO,03UM,,SIN ITSE,,,,"VELODROMO, FUTSAL, NATACION, VOLEY, BASQUET",DESUSO,"PARA PISCINA MTTO. BOMBAS DE FILTRADO, VÁLVULA MARIPOSA CTO. BOMBAS, SIST. DOSIF. QUÍMICOS, VÁLVULA INGRESO AGUA A PISCINA, TANQUES DE FILTRADO, VÁLVULA PARA DRENAJE.",,NO HAY DIAGNOSTICO,,"SI, POLIDEPORTIVO DE 01 MÓDULO",357950,-
150101,LIMA CERCADO,LIMA,LIMA,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO - VELODROMO,INSTALACION DEPORTIVA DE COMPETENCIA,COLISEO,COLISEO,CAMPO MENOR MULTIDEPORTIVO,"VOLEIBOL, BASQUETBOL, FULBITO",SI,,"-77,04457694","-12,03956036",NO,SI,SI,NO,SI,NO,NO,INADECUADO,SE IDENTIFICAN GRITAS DIAGONALES EN LOS MUROS Y GRADERÍAS DEL COLISEO. PUEDEN QUE OCURRAN DEBIDO A ESFUERZOS DE CORTE. REVESTIMIENTO DEL PISO DE LA CANCHA.,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO - VELODROMO,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,MARGEN DEL RIO RIMAC,18877.89,PARTIDA ELECTRONICA,11972342,SI,NO TIENE,,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO VELODROMO (12),MARGEN DEL RIO RIMAC - ALFONSO UGARTE N° 095,,176045,11972342,18877.89,IPD,UFARDELM,POR IDENTIFICAR,NO CUENTA CON CERTIFICADO ITSE,,CANTIDAD 3 CONVENIOS,,PUENTE DEL EJERCITO - VELODROMO,ALFONSO UGARTE N° 095 - MARGEN DEL RIO RIMAC,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO VELODROMO,NO,LIMA METROPOLITANA,MARTIN LOPEZ,ARQUITECTO,03UM,,SIN ITSE,,,,"VELODROMO, FUTSAL, NATACION, VOLEY, BASQUET",DESUSO,"PARA PISCINA MTTO. BOMBAS DE FILTRADO, VÁLVULA MARIPOSA CTO. BOMBAS, SIST. DOSIF. QUÍMICOS, VÁLVULA INGRESO AGUA A PISCINA, TANQUES DE FILTRADO, VÁLVULA PARA DRENAJE.",,NO HAY DIAGNOSTICO,,"SI, POLIDEPORTIVO DE 01 MÓDULO",357950,-
150101,LIMA CERCADO,LIMA,LIMA,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO - VELODROMO,INSTALACION DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,PISCINA RECREATIVA,NATACION,SI,,"-77,04457694","-12,03956036",NO,SI,SI,NO,SI,NO,NO,INADECUADO,SE IDENTIFICAN GRITAS DIAGONALES EN LOS MUROS Y GRADERÍAS DEL COLISEO. PUEDEN QUE OCURRAN DEBIDO A ESFUERZOS DE CORTE. REVESTIMIENTO DEL PISO DE LA CANCHA.,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO - VELODROMO,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,MARGEN DEL RIO RIMAC,18877.89,PARTIDA ELECTRONICA,11972342,SI,NO TIENE,,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO VELODROMO (12),MARGEN DEL RIO RIMAC - ALFONSO UGARTE N° 095,,176045,11972342,18877.89,IPD,UFARDELM,POR IDENTIFICAR,NO CUENTA CON CERTIFICADO ITSE,,CANTIDAD 3 CONVENIOS,,PUENTE DEL EJERCITO - VELODROMO,ALFONSO UGARTE N° 095 - MARGEN DEL RIO RIMAC,COMPLEJO DEPORTIVO PUENTE DEL EJERCITO VELODROMO,NO,LIMA METROPOLITANA,MARTIN LOPEZ,ARQUITECTO,03UM,,SIN ITSE,,,,"VELODROMO, FUTSAL, NATACION, VOLEY, BASQUET",DESUSO,"PARA PISCINA MTTO. BOMBAS DE FILTRADO, VÁLVULA MARIPOSA CTO. BOMBAS, SIST. DOSIF. QUÍMICOS, VÁLVULA INGRESO AGUA A PISCINA, TANQUES DE FILTRADO, VÁLVULA PARA DRENAJE.",,NO HAY DIAGNOSTICO,,"SI, POLIDEPORTIVO DE 01 MÓDULO",357950,-
140106,LA VICTORIA,LIMA,LIMA,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO MENOR MULTIDEPORTIVO, CAMPO DEPORTIVO DE FUTBOL, PISTA DE ATLETISMO

SALAS DE PRACTICA DEPORTIVA DE GIMNASIO, LEVANTAMIENTO DE PESAS, BOXEO, JUDO, LUCHA LIBRE, TAE KWON DO (SALAS FEDERATIVAS)","FULBITO,VOLEIBOL, BASQUETBOL, FUTBOL, ATLETISMO

HALTEROFILIA, BOXEO, JUDO, LUCHA LIBRE, TAE KWONDO",SI,,"-77,02532711","-12,06192757",SI,SI,NO,NO,NO,NO,NO,INADECUADO,"LOS CAMPOS, PISCINAS ESTAN EN BUEN ESTADO, EL PISTA ATLETICA ES DE TIERRA","TRIBUNAS, BAÑOS Y CAMERINOS FUNCINALES PERO EN CONDICIONES MEDIAS","EL COMPLEJO DEPORTIVO OSCAR R. BENAVIDES ES EL CENTRO EDUCATIVO DEPORTIVO EXPERIMENTAL CEDE, EN EL CUAL LOS ALUMNOS RECIBEN EL SERVICIO EDUCTIVO Y EL SERVICIO DEPORTIVO ES EL MISMO LOCAL.",CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,AV. 28 DE JULIO Y ANDAHUAYLAS,17.080.349.999.999.900,PARTIDA ELECTRONICA,P02205443,SI,AFECTACION EN USO,,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES (8),"AV. 28 DE JULIO Y ANDAHUAYLAS
REF. JARDIN DE NIÑOS - NIDO",,"0917645
ANEXO 008",,17.080.349.999.999.900,IPD/USO/SBN,UFARDELM,POR IDENTIFICAR,NO CUENTA CON CERTIFICADO ITSE,,CANTIDAD 1 CONVENIO,"RESOLUCION QUE APRUEBA TARIFARIO
RESOLUCION N° 028-2011-PCD-IPD",COMPLEJO OSCAR R. BENAVIDES,AV. 28 DE JULIO N° 1699 Y AV. ANDAHUAYLAS,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,NO,LIMA METROPOLITANA,MARTIN LOPEZ,ARQUITECTO,03UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
140106,LA VICTORIA,LIMA,LIMA,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO MENOR MULTIDEPORTIVO, CAMPO DEPORTIVO DE FUTBOL, PISTA DE ATLETISMO

SALAS DE PRACTICA DEPORTIVA DE GIMNASIO, LEVANTAMIENTO DE PESAS, BOXEO, JUDO, LUCHA LIBRE, TAE KWON DO (SALAS FEDERATIVAS)","FULBITO,VOLEIBOL, BASQUETBOL, FUTBOL, ATLETISMO

HALTEROFILIA, BOXEO, JUDO, LUCHA LIBRE, TAE KWONDO",SI,,"-77,02532711","-12,06192757",SI,SI,NO,NO,NO,NO,NO,INADECUADO,"LOS CAMPOS, PISCINAS ESTAN EN BUEN ESTADO, EL PISTA ATLETICA ES DE TIERRA","TRIBUNAS, BAÑOS Y CAMERINOS FUNCINALES PERO EN CONDICIONES MEDIAS","EL COMPLEJO DEPORTIVO OSCAR R. BENAVIDES ES EL CENTRO EDUCATIVO DEPORTIVO EXPERIMENTAL CEDE, EN EL CUAL LOS ALUMNOS RECIBEN EL SERVICIO EDUCTIVO Y EL SERVICIO DEPORTIVO ES EL MISMO LOCAL.",CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,AV. 28 DE JULIO Y ANDAHUAYLAS,17.080.349.999.999.900,PARTIDA ELECTRONICA,P02205443,SI,AFECTACION EN USO,,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES (8),JR ANDAHUAYLAS PROL N° 1200,,"0917645
ANEXO 06",,,,UFARDELM,POR IDENTIFICAR,NO CUENTA CON CERTIFICADO ITSE,,,,,AV. 28 DE JULIO N° 1699 Y AV. ANDAHUAYLAS,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,NO,LIMA METROPOLITANA,MARTIN LOPEZ,ARQUITECTO,03UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
140106,LA VICTORIA,LIMA,LIMA,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,INSTALACION DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,PISCINA SEMIOLIMPICA,NATACION,SI,,"-77,02532711","-12,06192757",SI,SI,NO,NO,NO,NO,NO,INADECUADO,"LOS CAMPOS, PISCINAS ESTAN EN BUEN ESTADO, EL PISTA ATLETICA ES DE TIERRA","TRIBUNAS, BAÑOS Y CAMERINOS FUNCINALES PERO EN CONDICIONES MEDIAS",NO ESTA EN FUNCIONAMIENTO (PROBLEMAS LEGALES POR LA EJECUCION).,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,AV. 28 DE JULIO Y ANDAHUAYLAS,17.080.349.999.999.900,PARTIDA ELECTRONICA,P02205443,SI,AFECTACION EN USO,,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES (8),"AV. 28 DE JULIO Y ANDAHUAYLAS
REF. JARDIN DE NIÑOS - NIDO",,"0917645
ANEXO 008",,17.080.349.999.999.900,IPD/USO/SBN,UFARDELM,POR IDENTIFICAR,NO CUENTA CON CERTIFICADO ITSE,,CANTIDAD 1 CONVENIO,"RESOLUCION QUE APRUEBA TARIFARIO
RESOLUCION N° 028-2011-PCD-IPD",COMPLEJO OSCAR R. BENAVIDES,AV. 28 DE JULIO N° 1699 Y AV. ANDAHUAYLAS,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,NO,LIMA METROPOLITANA,MARTIN LOPEZ,ARQUITECTO,03UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
140106,LA VICTORIA,LIMA,LIMA,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,INSTALACION DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,PISCINA SEMIOLIMPICA,NATACION,SI,,"-77,02532711","-12,06192757",SI,SI,NO,NO,NO,NO,NO,INADECUADO,"LOS CAMPOS, PISCINAS ESTAN EN BUEN ESTADO, EL PISTA ATLETICA ES DE TIERRA","TRIBUNAS, BAÑOS Y CAMERINOS FUNCINALES PERO EN CONDICIONES MEDIAS",NO ESTA EN FUNCIONAMIENTO (PROBLEMAS LEGALES POR LA EJECUCION).,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,AV. 28 DE JULIO Y ANDAHUAYLAS,17.080.349.999.999.900,PARTIDA ELECTRONICA,P02205443,SI,AFECTACION EN USO,,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES (8),JR ANDAHUAYLAS PROL N° 1200,,"0917645
ANEXO 06",,,,UFARDELM,POR IDENTIFICAR,NO CUENTA CON CERTIFICADO ITSE,,,,,AV. 28 DE JULIO N° 1699 Y AV. ANDAHUAYLAS,COMPLEJO DEPORTIVO OSCAR R. BENAVIDES,NO,LIMA METROPOLITANA,MARTIN LOPEZ,ARQUITECTO,03UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
150132,SAN JUAN DE LURIGANCHO,LIMA,LIMA,MINICOMPLEJO DEPORTIVO SAN JUAN DE LURIGANCHO,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO DEPORTIVO DE FUTBOL, 2 CAMPOS MENORES MULTIDEPORTIVOS","FUTBOL, BASQUETBOL,VOLEIBOL, FULBITO",SI,,"-76,98033082","-12,01067811",SI,SI,SI,NO,SI,NO,NO,INADECUADO,CAMPOS CON MANTAS DE GRAS EN MAL ESTADO,"CERCOS PERIMETRICOS DE MADERA EN MAL ESTADO, CERCOS DE CONCRETO PRESENTAN GRIETAS",CAMPO DEPORTIVO NO ES DE PROPIEDAD DEL IPD. DE GRASS SINTETICO,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,MINICOMPLEJO DEPORTIVO SAN JUAN DE LURIGANCHO,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,MINICOMPLEJO,AV. EL SANTUARIO S/N URB. MANGOMARCA,16.280,PARTIDA ELECTRONICA,NO ESPECIFICADO,NO,NO ESPECIFICADO,,MINICOMPLEJO DEPORTIVO SAN JUAN DE LURIGANCHO (7),AV. EL SANTUARIO S/N URB. MANGOMARCA (JR. MAMACONA CON AV. MANGOMARCA S/N URB. MANGOMARCA SJL),,096379 (064392),,16.280,IPD/USO/MUNICIPALIDAD SAN JUAN LURIGANCHO,UFARDELM,POR IDENTIFICAR,NO CUENTA CON CERTIFICADO ITSE,,,"RESOLUCION QUE APRUEBA TARIFARIO
RESOLUCION N° 028-2011-PCD-IPD",MINICOMPLEJO MANGOMARCA,AV. EL SANTUARIO S/N URB. MANGOMARCA,MINICOMPLEJO DEPORTIVO SAN JUAN DE LURIGANCHO,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN,ARQUITECTO,07UM,8.000,SIN ITSE,,,1000,"FUTBOL, BASKET, VOLEY FUTSAL","OPERATIVO, EN USO","FALTA MTTO. DE TEMAS ESTRUCTURALES Y DE RIESGO. FALTA MTTO. DE CESPED. MTTO. DE CERCOS PERIMETRICOS DE MADERA EN MAL ESTADO, MTTO. DE CERCOS DE CONCRETO PRESENTAN GRIETAS.",FALTA ESPACIOS DEPORTIVOS ADECUADOS.,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,-,-
140106,LA VICTORIA,LIMA,LIMA,PISCINA 12 DE OCTUBRE,INSTALACION DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,PISCINA SEMIOLIMPICA,NATACION,NO,,"-77,00777079","-12,06708902",NO,SI,SI,NO,SI,SI,NO,INADECUADO,"ENCHAPES DE LAS MAYÓLICAS EN LAS PISCINAS SE ENCUENTRAN ROTAS, REVENTADAS POSIBLEMENTE POR FALTA DE JUNTAS DE DILATACIÓN.
LAS PAREDES LATERALES SE ENCUENTRAN EN REGULAR ESTADO. 
EL TERRAZO PERIMETRAL SE ENCUENTRA RAJADAS EN TRAMOS UNIFORMES POSIBLEMENTE POR FALTA DE JUNTAS.","TÓPICO NO TIENE AGUA EN EL LAVADERO, LA CAMILLA DEL TÓPICO SE ENCUENTRA EN MAL ESTADO, LAS PAREDES EXTERIORES PRESENTAN HUMEDAD.",LA PISCINA ESTA FUERA DE SERVICIO,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,PISCINA 12 DE OCTUBRE,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,PISCINA,AV. JAUREGUI S/N,1.000,PARTIDA ELECTRONICA,12098796,SI,NO TIENE,,,,,,,,,,,,,,,,AV. JAUREGUI S/N - AV. PARQUE 12 DE OCTUBRE,PISCINA 12 DE OCTUBRE,NO,LIMA METROPOLITANA,MARTIN LOPEZ,ARQUITECTO,03UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
